Address, Latitude, Longitude
"新竹市東區中華路二段33號", 24.8088365, 120.98269660000005
"新竹市香山區牛埔東路260號", 24.7965277, 120.94497899999999
"新竹市東區光復路一段89巷88號", 24.7802672, 121.02416419999997
"新竹市東區新竹市東區民族路40-2號", 24.8054425, 120.9736163
"新竹市香山區新竹市玄奘路48號", 24.7743721, 120.94327339999995
"新竹市香山區新竹市玄奘路48號", 24.7743721, 120.94327339999995
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區博愛街75號", 24.7982725, 120.98351500000001
"新竹市東區學府路36號", 24.7952718, 120.98049519999995
"新竹市東區西大路323號", 24.8016908, 120.96585619999996
"新竹市北區崧嶺路128巷38號", 24.7909191, 120.95333499999992
"新竹市東區中華路二段471號", 24.80126, 120.97055399999999
"新竹市北區中正路136號", 24.8083742, 120.96746570000005
"新竹市北區中央路229號", 24.8388388, 120.99999130000003
"新竹市北區中央路229號", 24.8388388, 120.99999130000003
"新竹市東區中華路2段445號", 24.8016432, 120.97169550000001
"新竹市東區中華路2段445號", 24.8016432, 120.97169550000001
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市東區新竹市博愛街75號", 24.7982725, 120.98351500000001
"新竹市香山區新竹市元培街306號", 24.7777953, 120.94040760000007
"新竹市東區中央路112號", 24.8062661, 120.96985359999996
"新竹市香山區新竹市玄奘路48號", 24.7743721, 120.94327339999995
"新竹市東區中華路2段445號", 24.8016432, 120.97169550000001
"新竹市東區公道五路三段6號", 24.8092361, 120.98759289999998
"新竹市東區民權路176 號四樓之3", 24.8098201, 120.97433839999997
"新竹市東區中華路二段190號", 24.8059977, 120.9775919
"新竹市北區西大路683號", 24.8108049, 120.95709220000003
"新竹市北區磐石路55號", 24.8091851, 120.95653379999999
"新竹市東區西大路323號8F", 24.8016908, 120.96585619999996
"新竹市東區中央路229號6樓", 24.808897, 120.97449690000008
"新竹市東區林森路273號2樓", 24.7976529, 120.962087
"新竹市東區民權路176號4F之3", 24.8098201, 120.97433839999997
"新竹市北區光復路2段321號", 24.8006579, 120.98770590000004
"新竹市北區吉羊路1號", 24.824542, 120.95499500000005
"新竹市北區吉羊路1號", 24.824542, 120.95499500000005
"新竹市北區新竹市中正路122號", 24.8073513, 120.96826099999998
"新竹市東區科學工業園區科技路五號", 24.7828701, 121.00461359999997
